stn    time           tre200dx  tre200dn  tre200d0
TAE    20180604           27.7      13.8      19.3
TAE    20180605           26.5      12.8      19.5
TAE    20180606           25.8      13.2      19.8
TAE    20180607           24.1      14.9      19.7
TAE    20180608           25.5      14.4      18.7
TAE    20180609           26.2      13.8      20.5
TAE    20180610           27.6      14.2      21.4
TAE    20180611           23.4      14.3      18.9
TAE    20180612           21.4      14.8      17.7
TAE    20180613           15.3      10.2      12.6
TAE    20180614           19.9       7.4      14.0
TAE    20180615           22.5       9.2      15.8
TAE    20180616           23.5       9.1      17.4
TAE    20180617           22.9      13.7      17.3
TAE    20180618           23.2      13.7      17.9
TAE    20180619           25.1      11.8      18.7
TAE    20180620           28.8      11.7      20.5
TAE    20180621           27.3      14.6      21.4
TAE    20180622           19.6       9.5      14.6
TAE    20180623           20.1       6.2      14.1
TAE    20180624           21.7       7.3      15.2
TAE    20180625           21.3       9.2      15.6
TAE    20180626           23.9       8.1      17.4
TAE    20180627           24.6      10.9      18.6
TAE    20180628           21.2       9.1      15.9
TAE    20180629           24.0      14.3      18.1
TAE    20180630           29.6      12.9      21.5
TAE    20180701           27.4      13.5      20.7
TAE    20180702           28.5      11.2      20.5
TAE    20180703           23.2      14.7      18.4
TAE    20180704           27.5      13.5      20.7
TAE    20180705           21.7      14.6      17.8
TAE    20180706           19.7      14.1      16.9
TAE    20180707           25.0      13.2      18.9
TAE    20180708           26.3      12.2      19.6
TAE    20180709           27.4      11.4      19.9
TAE    20180710           23.1      13.3      18.4
TAE    20180711           21.7      10.1      16.1
TAE    20180712           24.7       7.8      16.9
TAE    20180713           27.7      10.3      19.9
TAE    20180714           28.7      13.8      21.9
TAE    20180715           28.7      15.8      20.6
TAE    20180716           27.2      12.8      20.2
TAE    20180717           26.8      13.0      19.8
TAE    20180718           29.1      12.1      20.8
TAE    20180719           29.5      12.4      21.1
TAE    20180720           29.6      13.8      21.8
TAE    20180721           22.8      15.5      18.9
TAE    20180722           22.0      16.0      18.6
TAE    20180723           25.9      14.2      19.5
TAE    20180724           30.0      12.0      21.5
TAE    20180725           30.7      14.2      23.0
TAE    20180726           31.0      13.9      23.3
TAE    20180727           31.2      13.6      22.5
TAE    20180728           25.4      14.0      19.6
TAE    20180729           30.7      13.1      22.0
TAE    20180730           33.3      15.0      24.3
TAE    20180731           34.4      15.1      25.5
TAE    20180801           34.3      16.4      23.8
TAE    20180802           30.0      17.1      23.1
TAE    20180803           32.5      17.2      24.6
TAE    20180804           33.0      18.3      25.2
TAE    20180805           32.7      18.0      25.4
TAE    20180806           32.5      17.3      23.5
TAE    20180807           30.8      17.6      23.0
TAE    20180808           29.7      16.9      22.4
TAE    20180809           31.9      15.6      21.1
TAE    20180810           22.3      12.7      17.1
TAE    20180811           23.9      11.7      17.5
